idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
0	1	1	0.9939982190557056	1	0.012045865878462791	0.41717323660850525	0.6044444444444445	0:01:11.833268
1	1	1	0.9939982190557056	1	0.012045865878462791	0.37169528007507324	0.5466666666666666	0:01:15.108814
2	1	1	0.9939982190557056	1	0.012045865878462791	0.3813093304634094	0.5688888888888889	0:01:10.611691
3	1	1	0.9939982190557056	1	0.012045865878462791	0.38022559881210327	0.5733333333333334	0:01:11.581043
4	1	1	0.9939982190557056	1	0.012045865878462791	0.40174782276153564	0.5644444444444444	0:01:13.127699
5	1	1	0.9939982190557056	1	0.012045865878462791	0.38870882987976074	0.5555555555555556	0:01:12.505622
6	1	1	0.9939982190557056	1	0.012045865878462791	0.37352943420410156	0.5555555555555556	0:01:11.874244
7	1	1	0.9939982190557056	1	0.012045865878462791	0.3827160596847534	0.56	0:01:12.161252
8	1	1	0.9939982190557056	1	0.012045865878462791	0.3867324888706207	0.6	0:01:14.056997
9	1	1	0.9939982190557056	1	0.012045865878462791	0.3689075708389282	0.5688888888888889	0:01:13.589629
10	1	1	0.9939982190557056	1	0.012045865878462791	0.3936169743537903	0.5777777777777777	0:01:12.179962
11	1	1	0.9939982190557056	1	0.012045865878462791	0.4067227244377136	0.5555555555555556	0:01:10.894204
12	1	1	0.9939982190557056	1	0.012045865878462791	0.346120685338974	0.5777777777777777	0:01:10.764513
13	1	1	0.9939982190557056	1	0.012045865878462791	0.4061061143875122	0.5822222222222222	0:01:11.075763
14	1	1	0.9939982190557056	1	0.012045865878462791	0.37131160497665405	0.5955555555555555	0:01:11.297808
15	1	1	0.9939982190557056	1	0.012045865878462791	0.3865247964859009	0.5733333333333334	0:01:11.070422
16	1	1	0.9939982190557056	1	0.012045865878462791	0.40174782276153564	0.56	0:01:15.660948
17	1	1	0.9939982190557056	1	0.012045865878462791	0.43617022037506104	0.5822222222222222	0:01:14.961304
18	1	1	0.9939982190557056	1	0.012045865878462791	0.394705593585968	0.5822222222222222	0:01:12.389276
19	1	1	0.9939982190557056	1	0.012045865878462791	0.40112099051475525	0.56	0:01:10.632862
20	1	1	0.9939982190557056	1	0.012045865878462791	0.3865247964859009	0.5733333333333334	0:01:11.040143
21	1	1	0.9939982190557056	1	0.012045865878462791	0.35532233119010925	0.56	0:01:13.402228
22	1	1	0.9939982190557056	1	0.012045865878462791	0.3791208863258362	0.6	0:01:13.181886
23	1	1	0.9114754332915996	1	0.0063041276298463345	0.43642351031303406	0.5466666666666666	0:01:10.872352
24	1	1	0.9939982190557056	1	0.012045865878462791	0.3924369812011719	0.6	0:01:11.299615
