idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
0	1	1	0.9939982190557056	1	1.2045866250991821	0.1951647698879242	0.5822222222222222	0:01:21.070565
1	1	1	0.9939982190557056	1	1.2045866250991821	0.23249831795692444	0.5777777777777777	0:01:17.610922
2	1	1	0.9939982190557056	1	1.2045866250991821	0.19181865453720093	0.6044444444444445	0:01:17.803951
3	1	1	0.9939982190557056	1	1.2045866250991821	0.2179771363735199	0.5822222222222222	0:01:19.478003
4	1	1	0.9939982190557056	1	1.2045866250991821	0.23895618319511414	0.5733333333333334	0:01:17.799131
5	1	1	0.9939982190557056	1	1.2045866250991821	0.25715240836143494	0.56	0:01:19.299117
6	1	1	0.9939982190557056	1	1.2045866250991821	0.24663862586021423	0.5866666666666667	0:01:19.157871
7	1	1	0.9939982190557056	1	1.2045866250991821	0.23807910084724426	0.5555555555555556	0:01:20.380613
8	1	1	0.9939982190557056	1	1.2045866250991821	0.23404255509376526	0.5822222222222222	0:01:17.889169
9	1	1	0.9939982190557056	1	1.0699228048324585	0.2755415439605713	0.6044444444444445	0:01:20.114532
10	1	1	0.9939982190557056	1	1.2045866250991821	0.26158609986305237	0.5866666666666667	0:01:18.574111
11	1	1	0.9939982190557056	1	0.9889128804206848	0.27521005272865295	0.6222222222222222	0:01:19.475284
12	1	1	0.9487938477798614	1	0.002397706266492605	0.3017226755619049	0.6	0:01:19.383641
13	1	1	0.9939982190557056	1	0.18267637491226196	0.28040823340415955	0.5822222222222222	0:01:18.783813
14	1	1	0.9939982190557056	1	0.630412757396698	0.29036304354667664	0.6	0:01:18.145769
15	1	1	0.9939982190557056	1	1.2045866250991821	0.23807910084724426	0.5733333333333334	0:01:17.908850
16	1	1	0.9939982190557056	1	1.2045866250991821	0.22951087355613708	0.5377777777777778	0:01:19.781181
17	1	1	0.9939982190557056	1	1.2045866250991821	0.27015864849090576	0.6044444444444445	0:01:18.131761
18	1	1	0.9939982190557056	1	1.2045866250991821	0.2446276843547821	0.5688888888888889	0:01:18.227433
19	1	1	0.9939982190557056	1	0.9291595220565796	0.27203643321990967	0.6	0:01:19.008717
20	1	1	0.9939982190557056	1	1.2045866250991821	0.19612067937850952	0.5777777777777777	0:01:19.076490
21	1	1	0.9939982190557056	1	1.2045866250991821	0.17223909497261047	0.6044444444444445	0:01:18.359782
22	1	1	0.9939982190557056	1	1.2045866250991821	0.2139827013015747	0.5911111111111111	0:01:18.726942
23	1	1	0.9939982190557056	1	1.2045866250991821	0.26013168692588806	0.5733333333333334	0:01:17.792522
24	1	1	0.9939982190557056	1	1.2045866250991821	0.23150962591171265	0.6266666666666667	0:01:18.082294
25	1	1	0.9939982190557056	1	1.2045866250991821	0.2283754050731659	0.5866666666666667	0:01:18.798560
26	1	1	0.9939982190557056	1	1.0699228048324585	0.2755415439605713	0.5911111111111111	0:01:20.765207
27	1	1	0.9939982190557056	1	1.2045866250991821	0.241048663854599	0.5777777777777777	0:01:18.484766
28	1	1	0.9939982190557056	1	1.2045866250991821	0.22588706016540527	0.5422222222222223	0:01:18.805183
29	1	1	0.9939982190557056	1	1.2045866250991821	0.20511960983276367	0.5733333333333334	0:01:18.785260
30	1	1	0.9939982190557056	1	1.2045866250991821	0.21848741173744202	0.6	0:01:18.587729
