idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
0	1	1	0.9939982190557056	1	0.12045866250991821	0.07652896642684937	0.6599999999999999	0:03:11.414175
1	1	1	0.9939982190557056	1	0.12045866250991821	0.07142144441604614	0.6622222222222222	0:03:07.712581
2	1	-1	0.0	0	-1	-1	-1	0:03:22.295884
3	1	1	0.9939982190557056	1	0.12045866250991821	0.048954665660858154	0.6644444444444444	0:03:26.050875
4	1	-1	0.0	0	-1	-1	-1	0:00:21.233771
5	1	1	0.9939982190557056	1	0.12045866250991821	0.07041501998901367	0.662962962962963	0:03:14.964743
6	1	1	0.98784772395791	1	0.037203602492809296	0.08368343114852905	0.6607407407407407	0:03:13.449650
7	1	1	0.9939982190557056	1	0.12045866250991821	0.06249624490737915	0.6533333333333333	0:03:14.902300
8	1	1	0.9939982190557056	1	0.12045866250991821	0.08108371496200562	0.6637037037037037	0:03:12.675999
9	1	1	0.9939982190557056	1	0.12045866250991821	0.06263482570648193	0.6518518518518518	0:03:11.585304
10	1	1	0.98784772395791	1	0.12045866250991821	0.08658963441848755	0.6585185185185185	0:03:13.296539
11	1	-1	0.0	0	-1	-1	-1	0:02:47.682844
12	1	1	0.9939982190557056	1	0.026716426014900208	0.09031045436859131	0.654074074074074	0:02:59.725728
13	1	1	0.9762936942379989	1	0.012084485031664371	0.09592396020889282	0.6533333333333333	0:03:18.631228
14	1	1	0.9939982190557056	1	0.12045866250991821	0.0776166319847107	0.6607407407407407	0:03:17.214096
15	1	1	0.9939982190557056	1	0.12045866250991821	0.07816696166992188	0.6622222222222222	0:03:12.275115
16	1	-1	0.0	0	-1	-1	-1	0:03:17.021225
17	1	1	0.9706873953208027	1	0.09291595220565796	0.09382092952728271	0.657037037037037	0:03:16.095108
18	1	1	0.879993930923735	1	0.004423157777637243	0.09893876314163208	0.662962962962963	0:03:14.207109
19	1	1	0.9706873953208027	1	0.0147029934450984	0.09580063819885254	0.6562962962962963	0:03:27.716738
20	1	1	0.9939982190557056	1	0.12045866250991821	0.08123207092285156	0.6599999999999999	0:03:33.075951
21	1	1	0.5690481953916083	1	0.0147029934450984	0.11507022380828857	0.6548148148148147	0:03:20.438441
22	1	0	0.7460598377528057	0	0.0543060302734375	0.11803281307220459	0.657037037037037	0:03:15.372396
23	1	1	0.9762936942379989	1	0.05757838487625122	0.08941543102264404	0.6637037037037037	0:03:11.130540
24	1	1	0.8229557161093254	1	0.010360135696828365	0.1087612509727478	0.6622222222222222	0:03:08.998310
25	1	1	0.9939982190557056	1	0.12045866250991821	0.08664965629577637	0.6525925925925926	0:03:13.494525
26	1	1	0.9167591411313873	1	0.012952751480042934	0.09165191650390625	0.6644444444444444	0:03:28.939219
27	1	1	0.9939982190557056	1	0.12045866250991821	0.06830370426177979	0.6511111111111111	0:03:24.082372
28	1	1	0.9939982190557056	1	0.12045866250991821	0.05469387769699097	0.6548148148148147	0:03:19.481428
29	1	1	0.8956921205202595	1	0.05275839567184448	0.10801678895950317	0.6577777777777778	0:02:58.051873
30	1	0	0.7869689579874563	0	0.00526407128199935	0.12193125486373901	0.6599999999999999	0:02:51.668950
31	1	1	0.9939982190557056	1	0.12045866250991821	0.0912523865699768	0.6503703703703704	0:02:52.230372
32	1	1	0.8747772955784598	1	0.04570917785167694	0.09567350149154663	0.6511111111111111	0:02:53.774758
33	1	1	0.9939982190557056	1	0.12045866250991821	0.057740867137908936	0.6518518518518518	0:02:45.555240
34	1	0	0.5690481953916083	0	0.007799709681421518	0.11666804552078247	0.6562962962962963	0:02:49.997441
35	1	1	0.9706873953208027	1	0.08404504507780075	0.08601272106170654	0.6503703703703704	0:02:53.624770
36	1	1	0.9939982190557056	1	0.12045866250991821	0.07792150974273682	0.6562962962962963	0:02:49.295576
37	1	1	0.98784772395791	1	0.12045866250991821	0.08772051334381104	0.6607407407407407	0:02:49.184402
38	1	1	0.9939982190557056	1	0.12045866250991821	0.06523627042770386	0.6607407407407407	0:02:52.649694
39	1	1	0.9939982190557056	1	0.12045866250991821	0.07351231575012207	0.6555555555555556	0:02:53.622981
40	1	1	0.9939982190557056	1	0.12045866250991821	0.07477545738220215	0.6614814814814814	0:02:49.453404
41	1	-1	0.0	0	-1	-1	-1	0:01:16.841594
42	1	1	0.9542101785848814	1	0.0744885802268982	0.09781509637832642	0.6585185185185185	0:02:47.895124
43	1	1	0.9939982190557056	1	0.12045866250991821	0.07489091157913208	0.6607407407407407	0:02:50.179167
44	1	1	0.9220559067950918	1	0.008650078438222408	0.10206747055053711	0.6688888888888889	0:02:50.976485
45	1	1	0.98784772395791	1	0.12045866250991821	0.09241378307342529	0.6555555555555556	0:02:51.450236
46	1	1	0.9651480271584072	1	0.07186811417341232	0.09514498710632324	0.6674074074074073	0:02:52.661502
