idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
0	1	1	0.9939982190557056	1	0.12045866250991821	6.139278411865234e-05	0.7777777777777778	0:03:19.831630
1	1	1	0.9939982190557056	1	0.12045866250991821	0.0003153085708618164	0.7785185185185185	0:03:18.139169
2	1	1	0.9939982190557056	1	0.12045866250991821	0.0003153085708618164	0.774074074074074	0:03:18.280902
3	1	1	0.9939982190557056	1	0.12045866250991821	0.0002504587173461914	0.7748148148148147	0:03:22.471643
4	1	1	0.9939982190557056	1	0.12045866250991821	0.0002504587173461914	0.7799999999999999	0:03:36.230126
5	1	1	0.9939982190557056	1	0.12045866250991821	0.0003153085708618164	0.7807407407407407	0:03:36.779043
6	1	1	0.9939982190557056	1	0.12045866250991821	6.139278411865234e-05	0.7725925925925926	0:03:39.769853
7	1	1	0.9939982190557056	1	0.12045866250991821	0.0003153085708618164	0.7711111111111111	0:03:42.109015
8	1	1	0.9939982190557056	1	0.12045866250991821	0.0003026127815246582	0.774074074074074	0:03:35.997305
9	1	1	0.9939982190557056	1	0.12045866250991821	0.0003743171691894531	0.7762962962962963	0:03:34.437986
10	1	1	0.9939982190557056	1	0.12045866250991821	0.0	0.7814814814814814	0:03:34.523232
11	1	1	0.9939982190557056	1	0.12045866250991821	0.0	0.7777777777777778	0:03:36.321426
12	1	1	0.9939982190557056	1	0.12045866250991821	1.990795135498047e-05	0.7696296296296296	0:03:35.601818
13	1	1	0.9939982190557056	1	0.12045866250991821	0.0	0.7748148148148147	0:03:34.646715
14	1	1	0.9939982190557056	1	0.12045866250991821	9.208917617797852e-05	0.7755555555555556	0:03:34.890284
15	1	1	0.9939982190557056	1	0.12045866250991821	0.0003026127815246582	0.7674074074074073	0:03:43.241744
16	1	1	0.9939982190557056	1	0.12045866250991821	1.990795135498047e-05	0.7777777777777778	0:03:43.731357
17	1	1	0.9939982190557056	1	0.12045866250991821	0.00020325183868408203	0.7785185185185185	0:03:35.019379
18	1	1	0.9939982190557056	1	0.12045866250991821	9.208917617797852e-05	0.7725925925925926	0:03:43.981485
19	1	1	0.9939982190557056	1	0.12045866250991821	0.0002504587173461914	0.7725925925925926	0:03:40.033762
20	1	1	0.9939982190557056	1	0.12045866250991821	0.00016325712203979492	0.7792592592592592	0:03:34.656106
21	1	1	0.9939982190557056	1	0.12045866250991821	9.208917617797852e-05	0.7777777777777778	0:03:40.818396
22	1	1	0.9939982190557056	1	0.12045866250991821	0.0003026127815246582	0.777037037037037	0:03:55.971257
23	1	1	0.9939982190557056	1	0.12045866250991821	1.990795135498047e-05	0.7822222222222222	0:03:35.892924
24	1	1	0.9939982190557056	1	0.12045866250991821	0.0003153085708618164	0.7762962962962963	0:03:33.417985
25	1	1	0.9939982190557056	1	0.12045866250991821	0.0002334117889404297	0.7814814814814814	0:03:32.636554
26	1	1	0.9939982190557056	1	0.12045866250991821	0.0002504587173461914	0.7851851851851851	0:03:35.904097
27	1	1	0.9939982190557056	1	0.12045866250991821	0.0002334117889404297	0.7785185185185185	0:03:39.753010
