idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
0	1	1	0.9939982190557056	1	1.2045866250991821	0.10451316833496094	0.9011764705882352	0:03:14.536051
1	1	1	0.9939982190557056	1	1.2045866250991821	0.11325165629386902	0.8999999999999999	0:03:19.121231
2	1	1	0.9939982190557056	1	1.2045866250991821	0.09197810292243958	0.896470588235294	0:03:18.667696
3	1	1	0.9939982190557056	1	1.2045866250991821	0.10448503494262695	0.8976470588235294	0:03:21.145575
4	1	1	0.9939982190557056	1	1.2045866250991821	0.12380889058113098	0.9011764705882352	0:03:23.063759
5	1	1	0.9939982190557056	1	1.2045866250991821	0.10942351818084717	0.8976470588235294	0:03:21.996413
6	1	1	0.9939982190557056	1	1.2045866250991821	0.1298520267009735	0.8917647058823529	0:03:24.931351
7	1	1	0.9939982190557056	1	1.2045866250991821	0.09736073017120361	0.8941176470588235	0:03:16.238854
8	1	1	0.9939982190557056	1	1.2045866250991821	0.10481727123260498	0.8999999999999999	0:03:08.152136
9	1	1	0.9939982190557056	1	1.2045866250991821	0.0969957709312439	0.9011764705882352	0:03:09.345575
10	1	1	0.9939982190557056	1	1.2045866250991821	0.1065114438533783	0.8988235294117646	0:03:09.121325
11	1	1	0.9939982190557056	1	1.2045866250991821	0.10841783881187439	0.9023529411764705	0:03:10.570383
12	1	1	0.9939982190557056	1	1.2045866250991821	0.10777732729911804	0.9011764705882352	0:03:13.399850
13	1	1	0.9939982190557056	1	1.2045866250991821	0.09338298439979553	0.8988235294117646	0:03:11.196461
14	1	1	0.9939982190557056	1	1.2045866250991821	0.12172830104827881	0.9035294117647058	0:03:22.493510
15	1	1	0.9939982190557056	1	1.2045866250991821	0.1030568778514862	0.8999999999999999	0:03:15.328549
16	1	1	0.9939982190557056	1	1.2045866250991821	0.11215046048164368	0.8941176470588235	0:03:16.348691
17	1	1	0.9939982190557056	1	1.2045866250991821	0.09693869948387146	0.896470588235294	0:03:23.994720
18	1	1	0.9939982190557056	1	1.2045866250991821	0.11215046048164368	0.8988235294117646	0:03:25.924242
19	1	1	0.9939982190557056	1	1.2045866250991821	0.1083514392375946	0.8988235294117646	0:03:33.928129
20	1	1	0.9939982190557056	1	1.2045866250991821	0.1308446228504181	0.8952941176470588	0:03:34.519002
21	1	1	0.9939982190557056	1	1.2045866250991821	0.13098067045211792	0.8952941176470588	0:03:33.141989
