idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
0	1	1	0.9939982190557056	1	1.2045866250991821	0.06247195601463318	0.9035294117647058	0:03:01.089544
1	1	1	0.9939982190557056	1	1.2045866250991821	0.05249577760696411	0.9070588235294117	0:03:01.771827
2	1	1	0.9939982190557056	1	1.2045866250991821	0.05484318733215332	0.9141176470588235	0:03:02.720301
3	1	1	0.9939982190557056	1	1.2045866250991821	0.04130673408508301	0.9035294117647058	0:03:02.839865
4	1	1	0.9939982190557056	1	1.2045866250991821	0.053216397762298584	0.908235294117647	0:03:01.654306
5	1	1	0.9939982190557056	1	1.2045866250991821	0.055632174015045166	0.9035294117647058	0:03:02.143001
6	1	1	0.9939982190557056	1	1.2045866250991821	0.05559244751930237	0.9058823529411764	0:03:03.313931
7	1	1	0.9939982190557056	1	1.2045866250991821	0.039819687604904175	0.9011764705882352	0:03:02.970782
8	1	1	0.9939982190557056	1	1.2045866250991821	0.04781201481819153	0.9047058823529411	0:03:03.534832
9	1	1	0.9939982190557056	1	1.2045866250991821	0.06352940201759338	0.9047058823529411	0:03:02.657957
10	1	1	0.9939982190557056	1	1.2045866250991821	0.06641370058059692	0.908235294117647	0:03:01.341776
11	1	1	0.9939982190557056	1	1.2045866250991821	0.047500401735305786	0.9152941176470587	0:03:02.431442
12	1	1	0.9939982190557056	1	1.2045866250991821	0.05078589916229248	0.9070588235294117	0:03:03.047250
13	1	1	0.9939982190557056	1	1.2045866250991821	0.04069766402244568	0.9023529411764705	0:03:04.098838
14	1	1	0.9939982190557056	1	1.2045866250991821	0.04235294461250305	0.9070588235294117	0:03:04.418400
15	1	1	0.9939982190557056	1	1.2045866250991821	0.06412747502326965	0.9094117647058823	0:03:04.967354
16	1	1	0.9939982190557056	1	1.2045866250991821	0.0604681670665741	0.9070588235294117	0:03:23.607759
17	1	1	0.9939982190557056	1	1.2045866250991821	0.0376470685005188	0.8999999999999999	0:03:17.428613
18	1	1	0.9939982190557056	1	1.2045866250991821	0.06035435199737549	0.9058823529411764	0:03:24.821118
19	1	1	0.9939982190557056	1	1.2045866250991821	0.05639323592185974	0.9094117647058823	0:03:15.767122
