idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
0	1	1	0.9939982190557056	1	12.045866012573242	0.13332334160804749	0.8929411764705881	0:03:31.645429
1	1	1	0.9939982190557056	1	12.045866012573242	0.12486329674720764	0.8952941176470588	0:03:33.251592
2	1	1	0.9939982190557056	1	12.045866012573242	0.10181671380996704	0.8988235294117646	0:03:40.685120
3	1	1	0.9939982190557056	1	12.045866012573242	0.10432478785514832	0.8929411764705881	0:03:42.729881
4	1	1	0.9939982190557056	1	12.045866012573242	0.11171820759773254	0.8952941176470588	0:03:42.069380
5	1	1	0.9939982190557056	1	12.045866012573242	0.09102511405944824	0.9011764705882352	0:03:42.333731
6	1	1	0.9939982190557056	1	12.045866012573242	0.11079734563827515	0.896470588235294	0:03:42.091861
7	1	1	0.9939982190557056	1	12.045866012573242	0.10871484875679016	0.8999999999999999	0:03:42.486071
8	1	1	0.9939982190557056	1	12.045866012573242	0.12179771065711975	0.8941176470588235	0:03:42.669489
9	1	1	0.9939982190557056	1	12.045866012573242	0.1298307478427887	0.8929411764705881	0:03:42.038684
10	1	1	0.9939982190557056	1	12.045866012573242	0.12236806750297546	0.8847058823529411	0:03:42.846281
11	1	1	0.9939982190557056	1	12.045866012573242	0.13029751181602478	0.8894117647058822	0:03:42.549040
12	1	1	0.9939982190557056	1	12.045866012573242	0.11762747168540955	0.8976470588235294	0:03:42.202867
13	1	1	0.9939982190557056	1	12.045866012573242	0.12684880197048187	0.8905882352941176	0:03:42.076780
14	1	1	0.9939982190557056	1	12.045866012573242	0.09171867370605469	0.8894117647058822	0:03:42.018569
15	1	1	0.9939982190557056	1	12.045866012573242	0.12473297119140625	0.8988235294117646	0:03:42.583986
16	1	1	0.9939982190557056	1	12.045866012573242	0.11500751972198486	0.8905882352941176	0:03:42.647239
17	1	1	0.9939982190557056	1	12.045866012573242	0.10757392644882202	0.8905882352941176	0:03:40.875752
18	1	1	0.9939982190557056	1	12.045866012573242	0.13184291124343872	0.8858823529411763	0:03:41.345210
19	1	1	0.9939982190557056	1	12.045866012573242	0.1182822585105896	0.8894117647058822	0:03:41.668791
20	1	1	0.9939982190557056	1	12.045866012573242	0.11710363626480103	0.8894117647058822	0:03:42.224971
21	1	1	0.9939982190557056	1	12.045866012573242	0.11694875359535217	0.8905882352941176	0:03:42.292512
22	1	1	0.9939982190557056	1	12.045866012573242	0.12340131402015686	0.8917647058823529	0:03:41.748418
23	1	1	0.9939982190557056	1	12.045866012573242	0.13076630234718323	0.8988235294117646	0:03:41.573766
24	1	1	0.9939982190557056	1	12.045866012573242	0.10181671380996704	0.888235294117647	0:03:41.273979
25	1	1	0.9939982190557056	1	12.045866012573242	0.1289815604686737	0.8976470588235294	0:03:42.141611
26	1	1	0.9939982190557056	1	12.045866012573242	0.13381484150886536	0.8917647058823529	0:03:41.499038
27	1	1	0.9939982190557056	1	12.045866012573242	0.12854766845703125	0.8894117647058822	0:03:41.899890
28	1	1	0.9939982190557056	1	12.045866012573242	0.09361112117767334	0.8941176470588235	0:03:41.912923
29	1	1	0.9939982190557056	1	12.045866012573242	0.126473069190979	0.8917647058823529	0:03:42.241884
30	1	1	0.9939982190557056	1	12.045866012573242	0.11015340685844421	0.8870588235294117	0:03:41.797535
31	1	1	0.9939982190557056	1	12.045866012573242	0.14001943171024323	0.8976470588235294	0:03:42.239254
32	1	1	0.9939982190557056	1	12.045866012573242	0.12301430106163025	0.8952941176470588	0:03:41.658402
33	1	1	0.9939982190557056	1	12.045866012573242	0.09646624326705933	0.8894117647058822	0:03:40.089773
34	1	1	0.9939982190557056	1	12.045866012573242	0.1223604679107666	0.8952941176470588	0:03:38.688990
35	1	1	0.9939982190557056	1	12.045866012573242	0.10574492812156677	0.888235294117647	0:03:41.856860
36	1	1	0.9939982190557056	1	12.045866012573242	0.11801913380622864	0.8905882352941176	0:03:41.727763
37	1	1	0.9939982190557056	1	12.045866012573242	0.13472223281860352	0.8941176470588235	0:03:42.185331
38	1	1	0.9939982190557056	1	12.045866012573242	0.0968121588230133	0.8929411764705881	0:03:41.211636
39	1	1	0.9939982190557056	1	12.045866012573242	0.11414802074432373	0.8858823529411763	0:03:41.347276
40	1	1	0.9939982190557056	1	12.045866012573242	0.10798460245132446	0.8988235294117646	0:03:42.460458
41	1	1	0.9939982190557056	1	12.045866012573242	0.11197361350059509	0.8929411764705881	0:03:40.551898
42	1	1	0.9939982190557056	1	12.045866012573242	0.12194442749023438	0.8905882352941176	0:03:40.043232
43	1	1	0.9939982190557056	1	12.045866012573242	0.1319095492362976	0.8941176470588235	0:03:40.634189
44	1	1	0.9939982190557056	1	12.045866012573242	0.10929802060127258	0.8929411764705881	0:03:41.388667
45	1	1	0.9939982190557056	1	12.045866012573242	0.10348200798034668	0.8705882352941176	0:03:41.455144
46	1	1	0.9939982190557056	1	12.045866012573242	0.12160632014274597	0.8917647058823529	0:03:41.397656
